,index,REGIST_DT,PRDUCT,PRSRV_PD,MAIN_FNCTN,SUNGSANG,INTAKE_HINT1,SRV_USE,STTEMNT_NO,DISTB_PD,BASE_STANDARD,ENTRPS,STDR_STND
99,100,20190709,12종혼합유산균-대원성인,냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취없고 고유의 향미가 있는 미황색분말","1. 질환이 있거나 의약품 복용시 전문가와 상담할 것
2. 알레르기 체질등은 개인에 따라 과민반응을 나타낼 수 있음
3. 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
4. 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
5. 원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용한다.,20040017059159,제조일로부터 24개월,"1. 성상 : 이미, 이취없고 고유의 향미가 있는 미황색분말
2. 프로바이오틱스 수 : 표시량(3.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3 mg/kg 이하",(주)씨티씨바이오,
100,101,20190709,12종혼합유산균-대원키즈,냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취없고 고유의 향미가 있는 미황색분말","1. 질환이 있거나 의약품 복용시 전문가와 상담할 것
2. 알레르기 체질등은 개인에 따라 과민반응을 나타낼 수 있음
3. 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
4. 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
5. 원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용한다.,20040017059158,제조일로부터 24개월,"1. 성상 : 이미, 이취없고 고유의 향미가 있는 미황색분말
2. 프로바이오틱스 수 : 표시량(3.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3mg/kg 이하",(주)씨티씨바이오,
101,102,20180920,12종혼합유산균-알에스 100비(12종혼합유산균-RS 100B),냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말","원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용한다.,20040017059133,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 미황색의 분말
2. 프로바이오틱스 수 : 표시량(1.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3mg/kg 이하",(주)씨티씨바이오,
102,103,20181122,12종혼합유산균-알에스 200비(12종혼합유산균-RS 200B),냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말","원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용한다.,20040017059145,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 미황색의 분말
2. 프로바이오틱스수 : 표시량(2.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3mg/kg 이하",(주)씨티씨바이오,
103,104,20170203,13종 혼합유산균,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005206,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 300,000,000,000 CFU/g 이상",주식회사 락토메이슨,
104,105,20190423,13종프로슈퍼케이유산균,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","이미, 이취가 없고 고유의 향미가 있는 황색의 분말",20040020029321,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.30 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
105,106,20190208,14종엔피유산균골드,"실온, (직사광선 및 고온다습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029304,18개월,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 2.0 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
106,107,20150618,15종 프로바이오틱스 장용 유산균 캡슐,① 직사광선을 피해 서늘한 곳에 보관 또는 냉장보관 하십시오.,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,미백색 분말을 함유한 장용성 코팅된 투명한 경질캡슐,,"1일 1회, 1회 1캡슐씩 물, 주스, 음료 등과 함께 섭취",20100019004434,제조일로부터 18개월,"① 성    상  : 미백색 분말을 함유한 장용성 코팅된 투명한 경질캡슐로 이미, 이취가 없다.
② 프로바이오틱스 수 : 표시량 (500,000,000CFU / 400mg) 이상
③ 대장균군  : 음 성
④ 붕해시험  : 제1액 - 120분 이상, 제2액 - 60분 이내",네이처퓨어코리아(주),
107,108,20150522,15종알파혼합유산균-1000,직사광선 및 고온다습한 곳을 피하여 실온에서 보관하고 유통과정에서 흡습되지 않도록 파손에 주의,"1 유산균 증식 및 유해균 억제 
2 배변활동원활에 도움을 줄 수 있음.",황색 또는 유백색의 분말,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품 원료로 사용,20040020029139,18개월,"1 성상 :  고유의 색택과 향미를 가지며 이미, 이취가 없어야 함 
2 프로바이오틱스 수 : 표시량(100,000,000,000 cfu/g) 이상 
3 대장균군 : 음성",(주)메디오젠,
108,109,20180817,15종알파혼합유산균-2000,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 특이체질, 알레르기 체질인 경우 전문가와 상담 후 섭취여부를 결정하세요. 
② 임신, 수유부나 의약품을 섭취하시는 분은 섭취 전 전문가와 상담 후 섭취하세요. 
③ 이상증상이 생길 경우, 취를 중단하고, 전문가와 상담하시거나 고객상담실로 문의하시기 바랍니다.",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029254,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 유산균수 : 2.0 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
109,110,20190321,15종알파혼합유산균-2500,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용.,20040020029316,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 2.50 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
110,111,20190712,15종알파혼합유산균에이(A)-2500,실온(직사광선 및 습한 곳을 피하여 서늘한 곳에 보관),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용,20040020029365,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 2.50 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
111,112,20181211,15종장건강유산균,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029291,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.5 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
112,113,20181102,1614 리얼 멀티비타민&미네랄,① 고온다습한 곳과 직사광선을 피하여 습기가 적고 건조한 곳에 보관하십시오.,"[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민A]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험감소에 도움을 줌
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[망간]①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[몰리브덴]①산화·환원 효소의 활성에 필요","연노랑색의 장방형 제피정제로 이미, 이취가 없다.","① 과량섭취 시 부작용이 있을 수 있음. 
② 특정원료에 알레르기가 있거나 질병치료 약물투여 중인 분은 섭취 전 전문가와 상의하십시오.
③ 유통기한이 경과된 제품은 섭취하지 마십시오.","1일 1회, 1회 2정을 물과 함께 섭취",20100019004834,제조일부터 24 개월,"1) 성    상  : 연노랑색의 장방형 제피정제로 이미, 이취가 없다.
2) 대장균군  : 음 성
3) 붕해도 : 60분이내 
4) 비타민C  : 표시량(200mg/1,300mg)의 80~150%
5) 비타민B1 : 표시량(2.4mg/1,300mg)의 80~180%
6) 나이아신 : 표시량(30mgNE/1,300mg)의 80~150%  
7) 비타민B6  : 표시량(3mg/1,300mg)의 80~150%
8) 비타민B2  : 표시량(2.8mg/1,300mg)의 80~180%
9) 판토텐산  : 표시량(10mg/1,300mg)의 80~180%
10) 비 오 틴  : 표시량(60μg/1,300mg)의 80~180%
11) 엽    산  : 표시량(800μg/1,300mg)의 80~150%
12) 비타민B12 : 표시량(2.4μg/1,300mg)의 80~180%
13) 비타민A   : 표시량(1,400μgRE/1,300mg)의 80~150%
14) 비타민D   : 표시량(20μg/1,300mg)의 80~180%
15) 비타민E   : 표시량(11mgα-TE/1,300mg)의 80~150%
16) 아   연   : 표시량(17mg/1,300mg)의 80~150%
17) 망   간  : 표시량(6mg/1,300mg)의 80~150%
18) 셀   렌  : 표시량(110μg/1,300mg)의 80~150%
19) 몰리브덴  : 표시량(50μg/1,300mg)의 80~180%",네이처퓨어코리아(주),
113,114,20170823,16종 혼합유산균 2000,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005224,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 200,000,000,000 CFU/g 이상",주식회사 락토메이슨,
114,115,20181025,16종맘스유산균,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029273,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.3 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
115,116,20150522,16종알파혼합유산균-2000,직사광선 및 고온다습한 곳을 피하여 실온에서 보관하고 유통중에 흡습되지 않게 파손에 주의,"1 유산균 증식 및 유해균 억제 
2 배변활동원활에 도움을 줄 수 있음",황색 분말,"1 알레르기 체질인 경우 성분을 확인 후 섭취
2 제품의 포장지에 의해 상처를 입을 수 있으니 주의",건강기능식품 원료로 사용,20040020029159,18개월,"1 성상 : 이미,이취가 없는 황색 또는 황갈색 분말
2 대장균군 : 음성
3 프로바이오틱스 수 : 2.0 X 10^11cfu/g 이상.",(주)메디오젠,
116,117,20190121,16종엔티에이치(NTH)패밀리신바이오틱스유산균,"실온, (직사광선 및 고온다습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029300,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 4.0 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
117,118,20181017,16종인생유산균,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029269,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.9 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
118,119,20181025,16종키즈유산균,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029272,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.75 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
119,120,20181211,16종통쾌한유산균,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029290,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.7 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
120,121,20181025,16종패밀리유산균,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029271,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 흐린 노란색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.85 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
121,122,20181214,16종혼합유산균디(D),"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029292,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 4.0 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
122,123,20181227,16종혼합유산균로얄,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029295,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 4.2 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
123,124,20181214,16종혼합유산균제이(J),"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029293,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.8 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
124,125,20181227,16종혼합유산균프리미엄,"실온, (냉암소 보관 권장)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",건강기능식품 제조시 일일 섭취량에 적합한 양을 사용.,20040020029294,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 4.0 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
125,126,20180918,17종 혼합유산균,냉장보관,①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 미황색의 분말","원료로 사용시 개봉 후 오염우려가 있으니 신속하게 사용하고, 남은 것은 밀봉 후 냉장보관한다.",건강기능식품 원료로 사용한다.,20040017059129,제조일로부터 24개월,"1. 성상 : 이미, 이취가 없고 고유의 향미가 있는 미황색의 분말
2. 프로바이오틱스 수 : 표시량(2.0x10^11CFU/g) 이상
3. 대장균군 : 음성
4. 납 : 1.0mg/kg 이하
5. 카드뮴 : 0.3mg/kg 이하",(주)씨티씨바이오,
126,127,20170407,17종 혼합유산균 1000억,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005210,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 100,000,000,000 CFU/g 이상",주식회사 락토메이슨,
127,128,20180409,17종 혼합유산균 2000억,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005237,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 200,000,000,000 CFU/g 이상 
납 : 1.0 mg/kg 이하
카드뮴 : 0.3 mg/kg 이하",주식회사 락토메이슨,
128,129,20180615,17종 혼합유산균 3000억,냉장보관(0~10℃),①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말,고온다습한 환경에서의 사용을 가급적 삼간다.,건강기능식품의 원료로서 사용한다.,20100016005242,제조일로부터 12개월까지,"성상 : 고유의 색택과 향미를 가지며 이미 이취가 없는 미백색 분말
대장균군 : 음성
프로바이오틱스수 : 300,000,000,000 CFU/g 이상 
납 : 1.0 mg/kg 이하
카드뮴 : 0.3 mg/kg 이하",주식회사 락토메이슨,
129,130,20190321,17종더프로바이오츄유산균,"실온, (직사광선 및 습한 곳을 피하여 서늘한 곳에 보관)",①유산균 증식 및 유해균 억제에 도움을 줄 수 있음 ②배변활동 원활에 도움을 줄 수 있음,"이미, 이취가 없고 고유의 향미가 있는 황색의 분말","① 질환이 있거나 의약품 복용 시 전문가와 상담할 것
② 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음
③ 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것
④ 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 건강기능식품 제조 시 일일 섭취량에 적합한 양을 사용.,20040020029315,제조일로부터 18개월까지,"① 성상 : 이미, 이취가 없고 고유의 향미가 있는 황색의 분말
② 대장균군 : 음성
③ 프로바이오틱스 수 : 3.20 X 10^11 CFU/g 이상 
④ 납 :　1.0mg/kg 이하
⑤ 카드뮴 : 0.3mg/kg 이하",(주)메디오젠,
